20170611 day cam1
small
J0	J1	J2	J3	J4	J5	J6	J7	J8	J0area	J1area	J2area	J3area	J4area	J5area	J6area	J7area	J8area	
33.6	56.2	37.5	20.2	52.0	85.4	61.9	40.1	168.9	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
36.4	58.2	36.1	18.9	49.6	83.3	59.4	38.7	169.3	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
37.7	61.8	34.4	21.2	47.4	80.5	57.9	37.2	168.6	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
38.4	67.4	33.0	25.0	45.7	78.1	56.6	35.9	169.3	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
38.7	70.8	31.4	29.9	44.0	75.9	55.2	34.6	168.6	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
38.5	72.4	29.9	32.1	42.4	73.6	54.0	33.6	168.5	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
38.3	73.8	28.7	33.6	41.1	71.2	53.3	33.1	169.3	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
36.9	73.6	27.3	34.1	39.5	67.8	52.3	32.3	169.0	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
35.3	72.7	26.3	34.0	37.2	64.9	53.6	30.4	168.6	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
33.9	71.2	25.6	33.4	36.2	62.4	56.9	30.6	168.7	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
32.6	69.4	25.2	32.2	38.7	60.3	61.6	32.7	169.3	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
31.4	67.5	25.2	30.7	42.4	58.5	67.2	36.2	169.3	8204.8	8857.4	8974.0	5594.2	11111.8	11468.1	6276.8	10655.6	424.6	
