20170611 day cam1
small
J0	J1	J2	J3	J4	J5	J6	J7	J8	J0area	J1area	J2area	J3area	J4area	J5area	J6area	J7area	J8area	
40.2	41.6	38.5	21.5	25.3	65.0	58.8	29.7	153.2	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
39.1	39.5	37.2	22.1	25.1	61.2	56.4	28.6	153.3	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
38.0	37.6	35.8	22.1	25.6	62.9	54.5	27.1	153.2	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
37.0	35.6	34.3	21.6	26.9	68.0	53.1	25.4	153.4	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
35.3	33.8	32.9	20.0	28.1	74.6	51.9	24.0	153.6	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
35.6	31.9	31.7	18.0	29.5	80.5	50.7	22.7	153.5	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
38.9	29.6	30.5	16.3	30.9	84.2	49.6	21.4	153.1	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
42.2	30.1	29.8	15.0	31.6	85.5	48.8	20.6	153.2	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
44.2	34.5	29.2	14.2	31.8	85.9	48.3	19.9	153.5	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
45.7	41.3	29.2	13.7	32.0	86.4	48.2	19.1	154.7	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
45.7	46.0	28.6	13.0	31.1	85.0	50.5	18.4	153.8	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
46.0	47.9	28.6	12.7	30.2	83.8	55.4	20.9	154.3	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
45.6	48.5	28.7	11.8	28.9	81.4	60.4	24.4	154.4	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
44.5	48.2	28.7	12.2	27.9	78.6	64.6	27.8	154.5	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
43.0	47.2	29.0	15.2	27.2	76.1	66.4	29.4	154.5	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
41.6	45.4	29.0	19.5	26.8	73.7	67.5	30.1	154.5	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
40.4	43.1	29.4	21.5	26.4	70.8	66.8	30.5	154.3	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
39.3	40.9	31.6	22.1	26.1	67.7	64.8	30.5	154.3	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
38.0	38.9	35.1	22.2	25.7	65.0	61.8	29.9	154.2	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
36.9	36.9	38.1	21.7	25.5	62.7	59.0	28.7	153.6	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
35.4	35.2	39.9	20.6	25.9	60.0	57.2	27.3	154.3	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
36.3	33.4	40.5	18.6	27.2	59.4	55.3	25.6	154.1	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
39.6	31.0	40.7	17.0	28.3	63.6	53.8	24.2	154.3	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
42.1	30.4	40.1	15.4	29.2	68.5	51.8	22.5	152.7	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
43.8	34.7	39.8	14.3	30.4	75.1	50.8	21.4	152.7	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
44.6	41.1	39.0	13.6	31.2	80.7	50.0	20.4	153.0	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
45.5	46.0	38.3	13.1	31.6	84.1	49.0	19.8	153.4	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
45.3	47.2	37.0	12.4	31.1	85.0	50.5	19.1	152.8	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
44.9	47.5	35.6	11.4	30.5	85.5	55.0	17.8	152.8	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
43.9	47.4	34.3	13.1	29.6	85.2	60.2	18.6	152.9	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
42.1	46.1	32.7	16.9	28.0	83.6	64.0	21.2	152.6	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
40.7	44.3	31.7	20.2	27.1	81.7	65.8	25.0	152.5	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
39.5	42.0	30.6	21.4	26.4	79.2	66.8	28.0	152.2	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
38.2	39.8	29.8	21.6	26.0	76.9	66.5	29.2	152.5	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
37.0	37.9	29.2	21.6	25.6	74.8	64.8	29.8	152.5	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
36.0	36.0	28.6	21.0	25.2	72.3	62.1	29.9	152.0	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
34.1	34.2	28.3	19.7	25.0	69.5	58.9	29.4	151.9	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
35.3	32.6	28.1	17.8	24.6	66.7	56.5	28.6	151.9	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
38.7	30.2	28.2	16.2	24.7	63.3	54.7	27.1	151.9	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
41.9	30.1	28.8	14.9	25.3	60.8	52.9	25.4	151.7	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
43.8	34.5	31.3	14.0	26.4	64.5	51.5	24.0	152.2	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
44.6	40.7	34.8	13.2	27.7	70.9	50.6	22.9	152.5	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
45.1	45.2	37.8	12.6	29.1	77.4	49.6	21.8	152.1	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
45.0	46.5	39.3	12.1	30.3	82.6	48.6	20.7	152.3	11581.3	7292.4	9979.6	6469.9	9043.9	13316.1	6922.8	7920.1	759.2	
